source,window_s,prefix_bin,roots,resampling_units,family,info,status,crps,zero_brier,median_abs_error,interval_score90,width90,coverage50,coverage80,coverage90,coverage95,msle_saved_median
weibo,900,10-49,1168,816,hurdle,I1,available,98.65546030739169,0.021030643486148623,120.15496575342466,1257.6609589041095,464.98972602739724,0.7011986301369864,0.9066780821917808,0.9409246575342466,0.9597602739726028,1.6724604566172285
weibo,900,10-49,1168,816,qrf,I0,available,91.92812500409359,0.026352365104518768,109.68692922374429,1239.3553082191781,389.05279680365294,0.5156963470319634,0.7950913242009132,0.9032534246575342,0.9486301369863014,1.4849647069107528
weibo,900,10-49,1168,816,qrf,I1,available,89.78461243240898,0.01896988742450316,105.38755707762557,1226.1472602739725,492.8995433789954,0.5910388127853882,0.8430365296803654,0.932648401826484,0.9674657534246576,1.1653512959259296
weibo,900,10-49,1168,816,ngboost,I0,available,96.36437558570564,0.02619792383755811,121.53167808219177,1189.7559931506848,414.6875,0.5753424657534246,0.8527397260273972,0.913527397260274,0.9392123287671232,1.7543199534113012
weibo,900,10-49,1168,816,ngboost,I1,available,96.37151156024778,0.025023428606034456,119.98030821917808,1205.285102739726,430.54195205479454,0.5607876712328768,0.836472602739726,0.9203767123287672,0.949486301369863,1.6473599095580724
weibo,900,10-49,1168,816,nb2_glm,I0,available,98.29636132323279,0.027592047165608282,117.54195205479452,1270.958904109589,542.5513698630137,0.7585616438356164,0.9152397260273972,0.9623287671232876,0.9743150684931506,1.6452153176061
weibo,900,10-49,1168,816,nb2_glm,I1,available,99.23770984601255,0.027223797142116757,121.22945205479452,1258.2388698630136,466.78339041095893,0.6952054794520548,0.8955479452054794,0.9434931506849316,0.9674657534246576,1.7835562658071245
weibo,900,10-49,1168,816,poisson_glm,I0,available,156.52639777651282,0.026541095890410957,164.13270547945206,2881.076198630137,46.367294520547944,0.017123287671232876,0.0351027397260274,0.04366438356164384,0.05393835616438356,2.5416401050081388
weibo,900,10-49,1168,816,poisson_glm,I1,available,129.9736400697705,0.026541095890410957,136.46575342465752,2390.121575342466,40.138698630136986,0.031678082191780824,0.07705479452054795,0.0976027397260274,0.11643835616438356,2.2196565068712366
weibo,900,10-49,1168,816,empirical_window,I0,available,107.48219360121973,0.026024568873668188,134.83133561643837,1289.6609589041095,403.0,0.410958904109589,0.7773972602739726,0.8852739726027398,0.934931506849315,2.7224141913843405
weibo,900,10-49,1168,816,conditional_empirical,I0,available,96.35110547945197,0.027263013698630136,110.23458904109589,1272.7354452054794,365.54366438356163,0.4580479452054795,0.7825342465753424,0.851027397260274,0.934931506849315,1.513581603034241
weibo,900,50+,366,260,hurdle,I0,available,941.2124904516389,0.08838122334651423,1070.2131147540983,14691.745901639344,772.620218579235,0.24043715846994534,0.5218579234972678,0.6256830601092896,0.8005464480874317,6.065714368897133
weibo,900,50+,366,260,hurdle,I1,available,924.7602636614106,0.06936354088730673,1071.360655737705,13486.349726775956,1070.6666666666667,0.25136612021857924,0.5409836065573771,0.680327868852459,0.7950819672131147,6.201924889985221
weibo,900,50+,366,260,qrf,I0,available,696.1122836909948,0.07708327615538162,904.9635701275045,7578.506375227686,4262.96903460838,0.5255009107468124,0.7668488160291439,0.8834244080145719,0.9225865209471766,4.657884823113308
weibo,900,50+,366,260,qrf,I1,available,659.9652539316196,0.04831601309107299,838.8752276867032,6587.207650273224,3379.55737704918,0.6320582877959927,0.8533697632058289,0.9353369763205829,0.9735883424408014,2.0618237900099743
weibo,900,50+,366,260,ngboost,I0,available,821.7177591921836,0.09136635144802714,1030.8551912568305,10047.83606557377,2650.0765027322404,0.3879781420765027,0.7404371584699454,0.825136612021858,0.8661202185792349,4.955248528962978
weibo,900,50+,366,260,ngboost,I1,available,818.5312878785851,0.08526065581225574,1026.6338797814208,9686.803278688525,2891.9945355191257,0.34972677595628415,0.7377049180327869,0.8907103825136612,0.9426229508196722,4.450751601555162
weibo,900,50+,366,260,nb2_glm,I0,available,936.6215172629802,0.08524357061149199,1064.7650273224044,14630.098360655738,779.7158469945355,0.24316939890710382,0.5191256830601093,0.7103825136612022,0.8005464480874317,5.806322258366324
weibo,900,50+,366,260,nb2_glm,I1,available,914.2186990303893,0.0881070649064216,1067.4426229508197,13105.628415300547,1115.0273224043715,0.2103825136612022,0.4918032786885246,0.6366120218579235,0.7868852459016393,6.357609361874127
weibo,900,50+,366,260,poisson_glm,I0,available,1041.941756916579,0.09289617486338798,1059.01912568306,20286.06830601093,101.86065573770492,0.01912568306010929,0.030054644808743168,0.03278688524590164,0.04371584699453552,6.096314225245569
weibo,900,50+,366,260,poisson_glm,I1,available,1096.6829893883346,0.09289617486338798,1113.1420765027322,21401.871584699453,98.2103825136612,0.01912568306010929,0.04644808743169399,0.060109289617486336,0.06284153005464481,6.586100603648513
weibo,900,50+,366,260,empirical_window,I0,available,1025.6233337377068,0.09067653415300546,1109.3224043715848,17376.715846994535,403.0,0.03825136612021858,0.19398907103825136,0.4344262295081967,0.6475409836065574,10.006767926885935
weibo,900,50+,366,260,conditional_empirical,I0,available,733.6160131147537,0.07726775956284153,899.7213114754098,9019.808743169398,3326.748633879781,0.5273224043715847,0.7786885245901639,0.860655737704918,0.9262295081967213,4.606470307775064
weibo,3600,0,334,316,hurdle,I0,available,78.52852748163983,3.625835660367449e-05,86.07485029940119,1248.437125748503,247.0,0.844311377245509,0.9221556886227545,0.9520958083832335,0.9670658682634731,1.2049941922245526
weibo,3600,0,334,316,hurdle,I1,available,78.50943136181684,0.0003368276441834149,86.33233532934132,1247.934131736527,235.0,0.844311377245509,0.9161676646706587,0.9520958083832335,0.9580838323353293,1.1985807866032911
weibo,3600,0,334,316,qrf,I0,available,76.76669063774403,0.0,85.7814371257485,1240.6347305389222,208.0,0.5958083832335329,0.811377245508982,0.9461077844311377,0.9790419161676647,1.4035653272615887
weibo,3600,0,334,316,qrf,I1,available,76.7736895711966,2.929309496087366e-09,85.7814371257485,1240.6347305389222,208.0,0.5958083832335329,0.811377245508982,0.9461077844311377,0.9790419161676647,1.4035653272615887
