source,window_s,prefix_bin,roots,resampling_units,family,I0,I1,delta_I1_minus_I0,relative_reduction_percent,conditional_empirical,I1_minus_conditional_empirical,pointwise95_low,pointwise95_high,valid_bootstrap_replicates,interval_status
weibo,3600,1-2,386,362,qrf,21.999900633386975,22.32064648468331,0.3207458512963335,-1.4579422727463154,23.179083937823826,-0.8584374531405243,0.12317669313592232,0.5181841995771963,2000,exploratory_pointwise
weibo,3600,1-2,386,362,ngboost,22.16544023693494,22.542011660661235,0.37657142372629426,-1.6989124497459818,23.179083937823826,-0.6370722771625973,0.08471485746617265,0.6513061804375437,2000,exploratory_pointwise
weibo,3600,3-9,1547,1312,hurdle,41.21548768950273,37.054365787719846,-4.161121901782888,10.096015199749031,24.18617401422107,12.868191773498772,-4.385124868742721,-3.921345350399244,2000,exploratory_pointwise
weibo,3600,3-9,1547,1312,qrf,23.795726779171734,23.791475895253015,-0.004250883918718909,0.017864064242156807,24.18617401422107,-0.3946981189680588,-0.184043367285954,0.21143690780877888,2000,exploratory_pointwise
weibo,3600,3-9,1547,1312,ngboost,25.49220138559209,26.334813631867608,0.842612246275516,-3.305372625652314,24.18617401422107,2.148639617646531,0.6264219307273565,1.0599368306150465,2000,exploratory_pointwise
weibo,3600,10-49,1814,1341,hurdle,39.687431736034384,35.35445841826976,-4.332973317764624,10.91774682368898,25.949420066152136,9.405038352117618,-4.764098373209379,-3.8588192425786354,2000,exploratory_pointwise
weibo,3600,10-49,1814,1341,qrf,25.450276921061434,24.44514719270934,-1.0051297283520955,3.9493862148128445,25.949420066152136,-1.5042728734427968,-1.8165863289282211,-0.27604362721646436,2000,exploratory_pointwise
weibo,3600,10-49,1814,1341,ngboost,27.29273776154544,26.628077448869558,-0.6646603126758757,2.4353009891604382,25.949420066152136,0.6786573827174229,-1.025540689718054,-0.3264932707015833,2000,exploratory_pointwise
weibo,3600,50+,919,617,hurdle,390.9919054928836,392.52735703223533,1.5354515393517176,-0.39270673325479954,314.3308953210009,78.19646171123438,-12.669285912924039,12.592263999634643,2000,exploratory_pointwise
weibo,3600,50+,919,617,qrf,316.77748930491197,296.10276042345436,-20.674728881457646,6.526577670283029,314.3308953210009,-18.228134897546635,-43.898214643843076,7.8355411147594785,2000,exploratory_pointwise
weibo,3600,50+,919,617,ngboost,351.22032615421386,349.49098246895477,-1.729343685259068,0.4923814359479195,314.3308953210009,35.16008714795385,-6.235107562659106,2.4974132056942033,2000,exploratory_pointwise
seismic,300,0,103,103,hurdle,53.19253209058382,39.61530096565367,-13.577231124930146,25.52469414655596,36.23577669902906,3.379524266624607,-18.97213200386388,-8.029632024206949,2000,exploratory_pointwise
seismic,300,0,103,103,qrf,36.14483535161869,36.085784003439514,-0.05905134817917581,0.16337423481036506,36.23577669902906,-0.14999269558954126,-0.11313958725514295,-0.004018665819719233,2000,exploratory_pointwise
seismic,300,0,103,103,ngboost,37.28495022953813,36.76436788710478,-0.5205823424333452,1.3962264646418365,36.23577669902906,0.5285911880757278,-1.340681453693152,0.30036904105137585,2000,exploratory_pointwise
seismic,300,1-2,106,106,hurdle,58.0562511444061,82.22565539856797,24.16940425416187,-41.63101092084667,50.350478301886724,31.875177096681234,14.453367568969696,34.59994056761866,2000,exploratory_pointwise
seismic,300,1-2,106,106,qrf,50.43313830366935,50.361808615527444,-0.07132968814190736,0.14143416519594165,50.350478301886724,0.011330313640725244,-0.9545977645263184,0.8113396965099462,2000,exploratory_pointwise
seismic,300,1-2,106,106,ngboost,52.904044637524365,51.387130750791904,-1.5169138867324732,2.867292845236502,50.350478301886724,1.0366524489051645,-2.3699232871261517,-0.6128532261412851,2000,exploratory_pointwise
seismic,300,3-9,497,497,hurdle,25.328290319162996,30.181308039848023,4.853017720685029,-19.16046310087227,20.555794366197137,9.625513673650886,2.7466816913710383,7.190998690501423,2000,exploratory_pointwise
seismic,300,3-9,497,497,qrf,20.611579759466487,20.887508095843405,0.27592833637691877,-1.3387054247998131,20.555794366197137,0.3317137296462654,0.05710490936834679,0.48249376769027597,2000,exploratory_pointwise
seismic,300,3-9,497,497,ngboost,23.477819139545456,22.194011870433425,-1.283807269112036,5.4681708785703105,20.555794366197137,1.6382175042362832,-1.6624607102518854,-0.9109185751795892,2000,exploratory_pointwise
seismic,300,10-49,2866,2866,hurdle,35.251173892224465,30.273906915186338,-4.977266977038128,14.119436113689222,27.72814473133281,2.545762183853527,-5.48136088827658,-4.448828942149851,2000,exploratory_pointwise
seismic,300,10-49,2866,2866,qrf,27.535350711871004,26.818060218411063,-0.7172904934599483,2.6049804157776912,27.72814473133281,-0.9100845129217541,-0.9369404222598747,-0.5046314130626933,2000,exploratory_pointwise
seismic,300,10-49,2866,2866,ngboost,28.12107558134834,27.35920199758444,-0.7618735837638998,2.70926188993007,27.72814473133281,-0.36894273374837305,-0.9600882798525741,-0.5581820402061208,2000,exploratory_pointwise
seismic,300,50+,1428,1428,hurdle,130.26606688197214,112.83350137155062,-17.432565510421494,13.38227669544696,114.54565546218467,-1.7121540906340178,-26.816570045407726,-9.792611737890248,2000,exploratory_pointwise
seismic,300,50+,1428,1428,qrf,115.43011875531347,102.29831482123305,-13.131803934080422,11.376410312733864,114.54565546218467,-12.24734064095161,-16.517939842366015,-9.851504649799354,2000,exploratory_pointwise
seismic,300,50+,1428,1428,ngboost,112.63250021295254,103.78355368086929,-8.848946532083255,7.856477051785838,114.54565546218467,-10.762101781315371,-11.661271293942315,-5.924719197361247,2000,exploratory_pointwise
seismic,900,0,53,53,hurdle,64.92926621415783,36.8979774295261,-28.031288784631748,43.17204000454191,34.659984905660295,2.2379925238657985,-36.15316952431684,-19.82608430658991,2000,exploratory_pointwise
seismic,900,0,53,53,qrf,34.90111143867932,34.673071763250356,-0.22803967542896914,0.6533880040743956,34.659984905660295,0.013086857590055949,-0.6417471644259548,0.12218558870796671,2000,exploratory_pointwise
seismic,900,0,53,53,ngboost,34.505847429087865,34.77083858740047,0.2649911583126022,-0.7679601518472579,34.659984905660295,0.11085368174017506,-0.4751714749047975,0.9694081272258995,2000,exploratory_pointwise
seismic,900,1-2,49,49,hurdle,53.25963773527119,58.348660157032825,5.089022421761635,-9.555120233931724,39.66891836734687,18.67974178968595,-20.516555500721275,30.204175811983745,2000,exploratory_pointwise
seismic,900,1-2,49,49,qrf,40.560428945869745,37.56452781304129,-2.995901132828453,7.386265901740496,39.66891836734687,-2.1043905543055805,-5.189051528180935,-0.4975208527807481,2000,exploratory_pointwise
seismic,900,1-2,49,49,ngboost,40.04816884166428,38.60199314993438,-1.4461756917298916,3.611090677947215,39.66891836734687,-1.0669252174124877,-2.5190623902885667,-0.4655214756420223,2000,exploratory_pointwise
seismic,900,3-9,171,171,hurdle,31.899589062897295,35.17221521658826,3.272626153690979,-10.259148314538603,25.680715204678297,9.491500011909965,0.6030591683503722,6.454962826875701,2000,exploratory_pointwise
seismic,900,3-9,171,171,qrf,25.94423223983539,26.079685648525906,0.13545340869051717,-0.5220944965275809,25.680715204678297,0.3989704438476098,-0.6458810544277348,0.9288348725051628,2000,exploratory_pointwise
seismic,900,3-9,171,171,ngboost,26.487962800153745,26.723380426856878,0.23541762670313063,-0.8887721131266568,25.680715204678297,1.0426652221785755,-0.23552820121412096,0.7913367923746069,2000,exploratory_pointwise
seismic,900,10-49,2433,2433,hurdle,26.725208108492158,22.699398438038667,-4.025809670453489,15.06371682536779,19.396142704480027,3.303255733558642,-4.426363943270071,-3.609770276792113,2000,exploratory_pointwise
seismic,900,10-49,2433,2433,qrf,19.192050021014353,18.924319480304852,-0.2677305407095006,1.3950075183023602,19.396142704480027,-0.47182322417517436,-0.4755571995316497,-0.06314535513056493,2000,exploratory_pointwise
seismic,900,10-49,2433,2433,ngboost,19.786114633571692,19.59548763096788,-0.19062700260381085,0.9634382805018715,19.396142704480027,0.19934492648785096,-0.4120873878024442,0.04775283029631077,2000,exploratory_pointwise
seismic,900,50+,2294,2294,hurdle,82.48489059735913,69.47281790200495,-13.012072695354167,15.775098446661184,70.30193073234511,-0.8291128303401681,-18.031630426565926,-9.266778414850743,2000,exploratory_pointwise
seismic,900,50+,2294,2294,qrf,70.60608046030933,59.765529867333555,-10.840550592975777,15.353565191980467,70.30193073234511,-10.53640086501156,-13.238053515103081,-8.47274150177529,2000,exploratory_pointwise
seismic,900,50+,2294,2294,ngboost,68.28952810835594,60.21724742843851,-8.072280679917425,11.820671343795242,70.30193073234511,-10.084683303906601,-10.457321262645289,-5.268615332048543,2000,exploratory_pointwise
seismic,3600,0,26,26,hurdle,84.58098280507531,44.68810728173527,-39.89287552334001,47.16530146649733,42.32259230769225,2.365514974043024,,,2000,withheld_low_unit_count_or_denominator_failures
seismic,3600,0,26,26,qrf,43.81554618169837,42.926246066791954,-0.8893001149064292,2.0296451657103365,42.32259230769225,0.6036537590996962,,,2000,withheld_low_unit_count_or_denominator_failures
seismic,3600,0,26,26,ngboost,43.258321583470476,43.47836926690916,0.220047683438697,-0.5086828970330748,42.32259230769225,1.1557769592169163,,,2000,withheld_low_unit_count_or_denominator_failures
seismic,3600,1-2,20,20,hurdle,48.63143506929563,39.21629666199175,-9.415138407303877,19.36019036635073,20.47381999999991,18.742476661991827,,,2000,withheld_low_unit_count_or_denominator_failures
seismic,3600,1-2,20,20,qrf,19.6190457525204,20.634067883745196,1.0150221312247947,-5.173656986321062,20.47381999999991,0.16024788374528126,,,2000,withheld_low_unit_count_or_denominator_failures
seismic,3600,1-2,20,20,ngboost,20.55892266866707,19.444481011906024,-1.1144416567610473,5.420720116134858,20.47381999999991,-1.029338988093895,,,2000,withheld_low_unit_count_or_denominator_failures
seismic,3600,3-9,51,51,hurdle,37.35219620877357,29.29441176460327,-8.057784444170302,21.572451587940698,22.7954392156862,6.4989725489170675,-15.474569383104141,-1.5422673837827154,2000,exploratory_pointwise
seismic,3600,3-9,51,51,qrf,24.13045226428821,22.006095059468272,-2.12435720481993,8.803636092489953,22.7954392156862,-0.7893441562179253,-4.22202632051345,0.11651956285365882,2000,exploratory_pointwise
seismic,3600,3-9,51,51,ngboost,23.29768361816159,22.04305863531796,-1.254624982843639,5.385191950437484,22.7954392156862,-0.7523805803682474,-2.645144096058233,0.08635533869303762,2000,exploratory_pointwise
seismic,3600,10-49,1585,1585,hurdle,20.956705892829966,19.67237805053684,-1.2843278422931292,6.128481493518223,14.148910662460546,5.523467388076291,-1.855454181441047,-0.6143521109377831,2000,exploratory_pointwise
seismic,3600,10-49,1585,1585,qrf,14.121662492801445,14.291838158627577,0.17017566582613333,-1.2050682128458945,14.148910662460546,0.14292749616703038,-0.08324094104247919,0.4261806190673677,2000,exploratory_pointwise
seismic,3600,10-49,1585,1585,ngboost,14.87365861409147,15.066620927674148,0.192962313582678,-1.2973426282613776,14.148910662460546,0.9177102652136014,-0.03436449658413623,0.41655437214462415,2000,exploratory_pointwise
seismic,3600,50+,3318,3318,hurdle,49.79702700861852,42.071948362575114,-7.725078646043417,15.513132229171845,41.30363987341765,0.7683084891574585,-10.021545829342836,-5.974970279262039,2000,exploratory_pointwise
seismic,3600,50+,3318,3318,qrf,41.58658650001631,38.24854669021562,-3.338039809800692,8.026722293736178,41.30363987341765,-3.05509318320203,-4.800001089949331,-1.755698706174515,2000,exploratory_pointwise
seismic,3600,50+,3318,3318,ngboost,40.94974370841694,37.395454867047945,-3.5542888413689946,8.679636352982678,41.30363987341765,-3.908185006369703,-4.771777627945839,-2.299555002185787,2000,exploratory_pointwise
